fips,state,abbrev,county,statefips,cofips,region,ruca_2013,low_edu_code_2015,low_empl_code_2015,pop_loss_code_2015,pchpsa_2015,ohhspa_2015,mhhpsa_2015,peds_gen_tot_2015,peds_gen_tot_pcnf_2015,peds_gen_office_nf_2015,peds_gen_hosp_ftnf_2015,peds_subspecs_tot_nf_2015,pop_2015,pop_est_65over_2015,perc_white_2010,medicaid_eligibles_children_2012,inf_mort_2010_2014,median_hh_income_2011_2015,median_hh_income_2015,persons_pov_2015,perc_persons_poverty_2015,persons_0_17_pov_2015,perc_persons_0_17_pov_2015,perc_pers_blw_pov_lvl_2011_2015,snap_recip_2014,days_aq_measured_2015,days_measured_aq_good_2015,perc_good_aq_days_2015
01001,Alabama,AL,Autauga,01,001,South,02,0,0,0,2,2,2,1,1,1,0,0,55347,7921,78.5,5174,,51281,56580,6966,12.7,2544,18.8,12.9,8145,,,
01003,Alabama,AL,Baldwin,01,003,South,03,0,0,0,2,2,1,24,24,23,1,4,203709,39062,85.7,18335,5.7,50254,52387,25941,12.9,8629,19.6,13.4,24563,272,249,91.54
01005,Alabama,AL,Barbour,01,005,South,06,1,1,0,2,2,2,1,1,1,0,0,26489,4546,48,4039,,32964,31433,7380,32,2510,45.2,26.7,6725,,,
01007,Alabama,AL,Bibb,01,007,South,01,1,1,0,1,2,2,0,0,0,0,0,22583,3392,75.8,2706,,38678,40767,4516,22.2,1339,29.3,16.8,4085,,,
01009,Alabama,AL,Blount,01,009,South,01,1,1,0,1,2,2,1,1,1,0,0,57673,10110,92.6,6561,,45813,50487,8399,14.7,2935,22.2,16.7,8577,,,
01011,Alabama,AL,Bullock,01,011,South,06,1,1,0,1,2,1,1,1,1,0,0,10696,1635,23,1910,,31938,28251,3544,39.6,1116,51.2,24.6,3029,,,
01013,Alabama,AL,Butler,01,013,South,06,0,1,1,2,2,1,1,1,1,0,0,20154,3704,54.4,3375,,32229,33868,5100,25.8,1685,36,25.4,5456,,,
01015,Alabama,AL,Calhoun,01,015,South,03,0,1,0,2,2,1,15,14,13,0,2,115620,18900,74.9,15379,8.4,41703,42091,22579,20,7687,30.7,20.5,25709,,,
01017,Alabama,AL,Chambers,01,017,South,06,1,1,1,2,2,1,2,2,2,0,0,34123,6364,58.8,4852,,34177,35560,7532,22.4,2452,34.4,21.6,7886,,,
01019,Alabama,AL,Cherokee,01,019,South,06,0,1,0,1,2,2,0,0,0,0,0,25859,5578,92.7,3253,,36296,39144,4961,19.4,1558,30.2,19.2,5034,,,
01021,Alabama,AL,Chilton,01,021,South,01,0,0,0,2,2,1,1,1,0,0,0,43943,6831,84.1,6262,,41627,42767,8787,20.2,2950,28.1,19.1,8754,,,
01023,Alabama,AL,Choctaw,01,023,South,09,0,1,1,1,2,1,0,0,0,0,0,13170,2803,55.8,1902,,33536,35089,3177,24.4,891,33.5,23.4,3327,,,
01025,Alabama,AL,Clarke,01,025,South,07,0,1,0,2,2,1,0,0,0,0,0,24675,4562,54.5,3627,,32011,37317,5403,22.2,1671,30.9,24.7,6686,,,
01027,Alabama,AL,Clay,01,027,South,09,1,1,0,1,2,1,0,0,0,0,0,13555,2700,81.7,1806,,35327,38908,2436,18.4,781,27.3,16.7,2210,111,100,90.09
01029,Alabama,AL,Cleburne,01,029,South,08,1,1,0,1,2,1,0,0,0,0,0,15018,2821,94,1974,,38056,42136,2797,18.9,941,27.7,17,2679,,,
01031,Alabama,AL,Coffee,01,031,South,04,0,0,0,0,2,1,7,7,7,0,1,51211,8279,74.7,5205,,46729,46858,8196,16.2,2842,23.7,17.1,7540,,,
01033,Alabama,AL,Colbert,01,033,South,03,0,0,0,2,2,1,4,4,4,0,0,54354,10232,80.5,6359,,40576,41171,9732,18.1,3102,26.9,17.4,9323,283,261,92.23
01035,Alabama,AL,Conecuh,01,035,South,07,1,1,0,1,2,1,0,0,0,0,0,12672,2647,51.3,2139,,24900,29981,3560,28.3,1105,41,33.8,3796,,,
01037,Alabama,AL,Coosa,01,037,South,08,1,1,0,1,2,1,0,0,0,0,0,10724,2059,66.3,1055,,31212,36078,2118,20.3,611,32.2,19.3,1936,,,
01039,Alabama,AL,Covington,01,039,South,06,0,1,0,2,2,1,3,3,3,0,0,37835,7570,84.8,5349,,36444,36355,8319,22.3,2801,34.1,20.2,8128,,,
